,date,open,close,high,low,volume,code
1322,2012-11-09,17.819,17.847,17.916,17.764,81623.0,601318
1323,2012-11-12,17.856,17.657,17.907,17.51,174851.0,601318
1324,2012-11-13,17.662,17.371,17.662,17.334,127717.0,601318
1325,2012-11-14,17.403,17.486,17.588,17.338,115493.0,601318
1326,2012-11-15,17.426,17.459,17.694,17.357,197798.0,601318
1327,2012-11-16,17.426,17.144,17.477,16.978,160407.0,601318
1328,2012-11-19,17.07,16.867,17.121,15.993,393504.0,601318
1329,2012-11-20,16.77,16.331,16.775,16.225,281550.0,601318
1330,2012-11-21,16.317,16.844,16.872,16.317,174756.0,601318
1331,2012-11-22,16.765,16.872,16.895,16.645,110623.0,601318
1332,2012-11-23,16.904,17.158,17.491,16.849,175134.0,601318
1333,2012-11-26,17.121,17.103,17.209,17.01,90989.0,601318
1334,2012-11-27,17.07,16.747,17.172,16.71,133452.0,601318
1335,2012-11-28,16.701,16.557,16.719,16.456,119523.0,601318
1336,2012-11-29,16.506,16.493,16.687,16.433,112715.0,601318
1337,2012-11-30,16.442,16.862,17.052,16.442,131378.0,601318
1338,2012-12-03,16.825,16.932,17.426,16.788,216819.0,601318
1339,2012-12-04,16.969,17.283,17.412,16.969,231924.0,601318
1340,2012-12-05,17.265,17.99,18.101,17.265,378333.0,601318
1341,2012-12-06,17.967,17.981,18.18,17.842,208837.0,601318
1342,2012-12-07,17.926,18.171,18.244,17.764,281151.0,601318
1343,2012-12-10,18.258,18.485,18.665,18.258,315659.0,601318
1344,2012-12-11,18.439,18.397,18.573,18.328,214258.0,601318
1345,2012-12-12,18.402,18.434,18.536,18.231,177110.0,601318
1346,2012-12-13,18.388,17.963,18.388,17.912,233706.0,601318
1347,2012-12-14,18.023,19.395,19.506,18.023,548049.0,601318
1348,2012-12-17,19.395,19.65,19.876,19.358,370272.0,601318
1349,2012-12-18,19.599,19.497,19.978,19.372,292155.0,601318
1350,2012-12-19,19.437,19.308,19.645,19.183,227215.0,601318
1351,2012-12-20,19.252,19.534,19.645,19.183,179182.0,601318
1352,2012-12-21,19.608,19.594,20.038,19.46,216402.0,601318
1353,2012-12-24,19.095,19.469,19.543,19.003,301313.0,601318
1354,2012-12-25,19.312,19.876,20.163,19.28,451714.0,601318
1355,2012-12-26,19.881,20.089,20.288,19.835,255462.0,601318
1356,2012-12-27,20.218,19.982,20.338,19.899,188725.0,601318
1357,2012-12-28,20.103,20.251,20.362,19.835,233856.0,601318
1358,2012-12-31,20.338,20.935,21.194,20.338,329814.0,601318
1359,2013-01-04,21.591,21.776,23.024,21.448,587134.0,601318
1360,2013-01-07,21.776,21.827,21.993,21.531,283284.0,601318
1361,2013-01-08,21.79,21.013,21.868,20.851,471438.0,601318
1362,2013-01-09,20.824,20.833,20.962,20.542,408208.0,601318
1363,2013-01-10,20.875,20.796,21.207,20.713,272372.0,601318
1364,2013-01-11,20.838,20.537,20.958,20.44,228616.0,601318
1365,2013-01-14,20.546,21.665,21.73,20.472,388762.0,601318
1366,2013-01-15,21.674,21.716,22.164,21.596,420068.0,601318
1367,2013-01-16,21.656,21.24,21.656,20.801,289258.0,601318
1368,2013-01-17,21.161,20.838,21.226,20.708,247054.0,601318
1369,2013-01-18,20.967,21.471,21.67,20.773,259875.0,601318
1370,2013-01-21,21.402,21.157,21.471,20.939,234262.0,601318
1371,2013-01-22,21.161,21.365,21.901,21.046,404693.0,601318
1372,2013-01-23,21.355,21.466,21.693,21.221,235135.0,601318
1373,2013-01-24,21.545,21.512,22.178,21.388,458153.0,601318
1374,2013-01-25,21.522,21.073,21.679,20.805,265190.0,601318
1375,2013-01-28,20.986,21.568,21.794,20.939,473759.0,601318
1376,2013-01-29,21.771,21.596,22.03,21.175,406762.0,601318
1377,2013-01-30,21.873,21.993,22.46,21.707,555169.0,601318
1378,2013-01-31,22.086,22.289,22.418,21.836,541760.0,601318
1379,2013-02-01,22.192,23.468,23.611,22.002,1105899.0,601318
1380,2013-02-04,24.17,23.801,24.623,23.574,949644.0,601318
